Region,Landform/Region,Publication,Isotope,Sample_name,Scaling,Latitude_DD,Longitude_DD,Elevation_m,Pressure,Flag,Thickness,Density,Shielding,Erosion rate,10Be_Conc,10Be_standard,26Al_Conc,26Al_standard,Attenuation length,Depth to Top of Sample,Year Collected,Latitude_Uncertainty,Longitude_Uncertainty,Elevation_Uncertainty,Pressure_Uncertainty,Thickness_Uncertainty,Density_Uncertainty,Shielding_Uncertainty,Erosion_Uncertainty,10Be_Uncertainty,26Al_Uncertainty,Attenuation_Uncertainty,Depth_Uncertainty,Year_Uncertainty,SH_Mean,SH_SEM,CRONUS_Age_2020_03_27,CRONUS_Internal_2020_03_27,CRONUS_External_2020_03_27
British,Donegal,Clark et al. (2009),10Be,BF-04-10,LM,55.1311,-8.2808,107,,Elevation,2,2.7,0.995,0,110700,NIST_30600,0,KNSTD,,0,2009,,,,,,,,,7300,0,,,,30.27,1.2,22.4,1.631,2.4
British,Blackstairs,Ballantyne and Stone (2015),10Be,IRE-SE-38,LM,52.541979,-6.816949,556,,Elevation,3.4,2.65,0.999,0,154400,07KNSTD,0,KNSTD,,0,2015,,,,,,,,,6100,0,,,,28.71,0.53,23,0.90766,2
British,Blackstairs,Ballantyne and Stone (2015),10Be,IRE-SE-39,LM,52.538279,-6.822865,452,,Elevation,3.9,2.65,0.947,0,133600,07KNSTD,0,KNSTD,,0,2015,,,,,,,,,3200,0,,,,29.01,0.68,23.1,0.5548,1.9
British,Donegal,Ballantyne et al. (2007),10Be,BF-01,LM,55.1376,-8.2901,75,,Elevation,4,2.7,1,0,100400,KNSTD,0,KNSTD,,0,2007,,,,,,,,,4600,0,,,,28.81,1.06,21,1.0764,2
British,Donegal,Ballantyne et al. (2007),10Be,BF-02,LM,55.1333,-8.1646,70,,Elevation,3.7,2.6,1,0,87200,KNSTD,0,KNSTD,,0,2007,,,,,,,,,3700,0,,,,33.08,1.32,18.3,0.86528,1.7
British,Arran,Finlayson et al. (2014),10Be,D1,LM,55.592,-5.3368,49,,Elevation,2,2.65,0.9969,0,67550,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,2630,0,,,,38.92,1.34,15.9,0.62241,1.4
British,Arran,Finlayson et al. (2014),10Be,D2,LM,55.592,-5.3369,47,,Elevation,2,2.65,0.9965,0,70900,NIST_27900,0,KNSTD,,0,2014,,,,,,,,,2550,0,,,,37.84,1.25,16.8,0.60557,1.4
British,Wicklow,Barth et al. (2017),10Be,CRS-14-1,LM,52.9602,-6.4267,491,,Elevation,2,2.69,0.996,0,72800,07KNSTD,0,KNSTD,,0,2017,,,,,,,,,3000,0,,,,46.59,0.88,11,0.46738,1
British,Wicklow,Barth et al. (2017),10Be,CRS-14-2,LM,52.9609,-6.4274,588,,Elevation,2,2.69,0.997,0,65300,07KNSTD,0,KNSTD,,0,2017,,,,,,,,,3200,0,,,,47.09,0.69,9.27,0.45702,0.86
British,Wicklow,Barth et al. (2017),10Be,CRS-14-6,LM,52.9606,-6.4269,586,,Elevation,2,2.69,0.997,0,80800,07KNSTD,0,KNSTD,,0,2017,,,,,,,,,2700,0,,,,44.4,0.72,11.5,0.38568,0.98
British,Cairngorms,Hall et al. (2016),10Be,CG12-001,LM,57.15459,-3.63217,737,,Elevation,2,2.69,1,0,126400,KNSTD,0,KNSTD,,0,2016,,,,,,,,,6000,0,,,,40.96,0.96,13.8,0.72746,1.3
British,Cairngorms,Hall et al. (2016),10Be,CG12-002,LM,57.15475,-3.63211,739,,Elevation,5,2.69,1,0,121700,KNSTD,0,KNSTD,,0,2016,,,,,,,,,6100,0,,,,44.66,1.13,13.6,0.75788,1.3
British,Cairngorms,Hall et al. (2016),10Be,CG12-003,LM,57.15447,-3.63194,740,,Elevation,1,2.69,1,0,122600,KNSTD,0,KNSTD,,0,2016,,,,,,,,,5300,0,,,,45.47,1.02,13.3,0.63576,1.2
British,Cairngorms,Hall et al. (2016),10Be,CG12-004,LM,57.15297,-3.63331,735,,Elevation,4.5,2.69,1,0,142600,KNSTD,0,KNSTD,,0,2016,,,,,,,,,7300,0,,,,42.89,1,16,0.90693,1.5
British,Cairngorms,Hall et al. (2016),10Be,CG14-002,LM,57.14671,-3.63723,723,,Elevation,3.5,2.69,0.959,0,132100,KNSTD,0,KNSTD,,0,2016,,,,,,,,,5100,0,,,,40.01,1.12,15.5,0.66129,1.4
British,Cairngorms,Hall et al. (2016),10Be,CG14-003,LM,57.15042,-3.6416,603,,Elevation,1.5,2.69,0.972,0,117500,KNSTD,0,KNSTD,,0,2016,,,,,,,,,5000,0,,,,43.64,1.22,14.8,0.6993,1.4
British,Cairngorms,Hall et al. (2016),10Be,CG14-004,LM,57.15534,-3.64624,546,,Elevation,1,2.69,0.976,0,96970,KNSTD,0,KNSTD,,0,2016,,,,,,,,,4120,0,,,,42.14,1.05,12.8,0.60219,1.2
British,Cairngorms,Hall et al. (2016),10Be,CG14-005,LM,57.15101,-3.64939,540,,Elevation,3.5,2.69,0.974,0,106700,KNSTD,0,KNSTD,,0,2016,,,,,,,,,4500,0,,,,40.66,1.18,14.5,0.67683,1.3
